iter	Passed	Remaining
189	267	1139
190	267	1134
191	268	1130
192	269	1125
193	270	1121
194	270	1117
195	271	1113
196	272	1108
197	272	1104
198	273	1100
199	274	1097
200	274	1092
201	275	1087
202	275	1083
203	276	1078
204	276	1073
205	277	1069
206	277	1064
207	278	1060
208	278	1055
209	279	1051
210	279	1046
211	280	1042
212	281	1038
213	281	1034
214	282	1029
215	282	1025
216	283	1021
217	283	1017
218	284	1013
219	284	1009
220	285	1005
221	285	1001
222	286	997
223	286	993
224	287	989
225	287	985
226	288	982
227	288	978
228	289	974
229	289	970
230	290	967
231	291	963
232	291	959
233	292	956
234	292	952
235	293	949
236	293	945
237	294	942
238	294	938
239	295	935
240	295	931
241	296	928
242	296	924
243	297	921
244	297	918
245	298	914
246	299	911
247	299	908
248	300	904
249	300	901
250	301	898
251	301	895
252	302	892
253	302	889
254	303	885
255	303	882
256	304	879
257	304	876
258	305	873
259	305	870
260	306	867
261	307	864
262	307	861
263	308	858
264	308	856
265	309	853
266	309	850
267	310	847
268	310	844
269	311	841
270	311	838
271	312	835
272	312	833
273	313	830
274	313	827
275	314	824
276	314	822
277	315	819
278	316	817
279	317	815
280	317	812
281	318	810
282	319	808
283	319	805
284	320	803
285	321	801
286	321	799
287	322	797
288	323	795
289	323	793
290	324	791
291	325	788
292	326	786
293	326	784
294	327	782
295	327	779
296	328	777
297	328	774
298	329	772
299	329	769
300	330	767
301	330	764
302	331	762
303	332	760
304	332	757
305	333	755
306	333	753
307	334	750
308	334	748
309	335	746
310	335	743
311	336	741
312	336	739
313	337	737
314	338	735
315	339	733
316	339	731
317	340	729
318	341	728
319	341	726
320	342	724
321	343	722
322	343	720
323	344	718
324	345	716
325	345	714
326	346	713
327	347	711
328	347	709
329	348	707
330	349	705
331	349	704
332	350	702
333	351	700
334	351	698
335	352	696
336	353	694
337	353	693
338	354	691
339	355	689
340	356	688
341	356	686
342	357	685
343	358	683
344	359	681
345	359	680
346	360	678
347	361	677
348	362	675
349	362	673
350	363	672
351	364	670
352	365	668
353	365	667
354	366	665
355	367	664
356	367	662
357	368	661
358	369	660
359	370	658
360	371	657
361	372	656
362	373	654
363	373	653
364	374	652
365	375	650
366	376	649
367	377	647
368	378	646
369	378	645
370	379	643
371	380	642
372	381	640
373	381	638
374	382	637
375	382	635
376	383	633
377	384	632
378	384	630
379	385	628
380	385	626
381	386	625
382	387	623
383	387	621
384	388	620
385	388	618
386	389	616
387	390	615
388	390	613
389	391	611
390	391	610
391	392	608
392	392	606
393	393	605
394	393	603
395	394	601
396	395	600
397	395	598
398	396	596
399	396	595
400	397	593
401	397	591
402	398	590
403	398	588
404	399	586
405	400	585
406	400	583
407	401	582
408	401	580
409	402	579
410	403	578
411	403	576
412	404	575
413	405	573
414	405	572
415	406	570
416	407	569
417	408	568
418	408	566
419	409	565
420	410	564
421	410	562
422	411	561
423	412	559
424	412	558
425	413	557
426	414	555
427	414	554
428	415	553
429	416	551
430	416	550
431	417	549
432	418	547
433	418	546
434	419	545
435	420	543
436	420	542
437	421	541
438	422	539
439	423	538
440	423	537
441	424	535
442	425	534
443	425	533
444	426	531
445	427	530
446	427	529
447	428	527
448	429	526
449	429	525
450	430	523
451	431	522
452	431	521
453	432	520
454	433	518
455	433	517
456	434	516
457	435	515
458	436	513
459	436	512
460	437	511
461	438	510
462	438	508
463	439	507
464	440	506
465	440	505
466	441	503
467	442	502
468	442	501
469	443	500
470	444	499
471	445	497
472	445	496
473	446	495
474	447	494
475	447	492
476	448	491
477	449	490
478	449	489
479	450	488
480	451	486
481	451	485
482	452	484
483	453	483
484	453	481
485	454	480
486	455	479
487	455	478
488	456	477
489	457	475
490	457	474
491	458	473
492	459	472
493	459	471
